src_id,direction,geom_points,os_speed
osgb4000000025938637,1,"((-3.4016541623735606, 50.619464473300972), (-3.4012920960709003, 50.619648696731474))",37.5
osgb4000000025938638,1,"((-3.4011312262734759, 50.619707813227549), (-3.4008363399008261, 50.619774313636249))",37.5
osgb4000000025938638,-1,"((-3.401076229389016, 50.619463937556972), (-3.4007813430163663, 50.619530437965672))",37.5
osgb4000000025933315,-1,"((-3.4003142803512305, 50.619644898882548), (-3.4001740353367302, 50.619682558355144))",37.5
osgb4000000025933315,1,"((-3.4003791151061296, 50.619886345469929), (-3.4002388700916293, 50.619924004942526))",37.5
osgb4000000025929849,1,"((-3.3993398943674551, 50.620237476737586), (-3.3990460692642852, 50.620339933179082))",37.5
osgb4000000025929849,-1,"((-3.3992575804712635, 50.620001416528119), (-3.3989637553680936, 50.620103872969615))",37.5
osgb4000000025933316,1,"((-3.3971006285695879, 50.620511068375421), (-3.396946247480408, 50.620548893424321))",37.5
osgb4000000025933316,-1,"((-3.3970411355162584, 50.620268250384726), (-3.3968867544270784, 50.620306075433625))",37.5
osgb4000000025929850,1,"((-3.3960118882237844, 50.621057230916314), (-3.3956660483221843, 50.621313188874517))",37.5
osgb4000000025929850,-1,"((-3.3958631637946608, 50.620856280563785), (-3.3955173238930607, 50.621112238521988))",37.5
osgb4000000025943784,1,"((-3.3974844789621312, 50.620456091726318), (-3.397343430435281, 50.62046677733202))",37.5
osgb4000000025943784,-1,"((-3.3974655934884623, 50.62020680606912), (-3.3973245449616121, 50.620217491674822))",37.5
osgb4000000025933317,1,"((-3.3944847894290331, 50.621992654647407), (-3.3938872157277231, 50.622341554114108))",37.5
osgb4000000025933317,-1,"((-3.3943587368225945, 50.621776759440394), (-3.3937611631212845, 50.622125658907095))",37.5
osgb4000000025938651,1,"((-3.3937997377952214, 50.622398915765132), (-3.3934936151166313, 50.622564458533134))",37.5
osgb4000000025938651,-1,"((-3.3936808190402026, 50.62217901049074), (-3.3933746963616125, 50.622344553258742))",37.5
osgb4000000025947022,1,"((-3.3826083783234799, 50.628166183984924), (-3.3824688853011899, 50.628230792870824))",37.5
osgb4000000025947022,-1,"((-3.3825033088867635, 50.62793933510688), (-3.3823638158644735, 50.62800394399278))",37.5
osgb4000000025933449,-1,"((-3.393127679617002, 50.622471584264055), (-3.3928071551460923, 50.622628304431061))",37.5
osgb4000000025933449,1,"((-3.3932374930728217, 50.622696175013914), (-3.3929169686019121, 50.62285289518092))",37.5
osgb4000000025943848,-1,"((-3.3905001286003285, 50.623784529045743), (-3.3903057196057285, 50.623903763203742))",37.5
osgb4000000025943848,1,"((-3.3906308330633324, 50.623997640151394), (-3.3904364240687324, 50.624116874309394))",37.5
osgb4000000025943847,-1,"((-3.392181295845381, 50.622895492070946), (-3.391776767401621, 50.623080193440742))",37.5
osgb4000000025943847,1,"((-3.3922851307218282, 50.623122908689588), (-3.3918806022780683, 50.623307610059385))",37.5
osgb4000000025933453,-1,"((-3.3916762645350329, 50.623127708817961), (-3.3916205312226029, 50.623155354754061))",37.5
osgb4000000025933453,1,"((-3.3917873578122255, 50.623351669269297), (-3.3917316244997955, 50.623379315205398))",37.5
osgb4000000025946972,-1,"((-3.3906498399379292, 50.623685582491802), (-3.3904972991245894, 50.623786330400108))",37.5
osgb4000000025946972,1,"((-3.3907876180902807, 50.623894190211544), (-3.3906350772769409, 50.62399493811985))",37.5
osgb4000000025933450,-1,"((-3.3892823743107305, 50.624588966681259), (-3.3890738260087208, 50.624708367391364))",37.5
osgb4000000025933450,1,"((-3.3894065895758283, 50.624805924206861), (-3.3891980412738185, 50.624925324916966))",37.5
osgb4000000025933451,1,"((-3.3884245069499372, 50.625316119747367), (-3.3879647358342275, 50.625546432413067))",37.5
osgb4000000025933451,-1,"((-3.3883125374667085, 50.625092596068924), (-3.3878527663509987, 50.625322908734624))",37.5
osgb4000000025938759,1,"((-3.3875321618997307, 50.625758693051161), (-3.3869190329630308, 50.626062774858966))",37.5
osgb4000000025938759,-1,"((-3.3874210845973627, 50.625534724676385), (-3.3868079556606627, 50.62583880648419))",37.5
osgb4000000025946971,1,"((-3.386747298888253, 50.626147852265085), (-3.3865240756808932, 50.626249436184089))",37.5
osgb4000000025946971,-1,"((-3.3866437477771481, 50.625920306297445), (-3.3864205245697883, 50.62602189021645))",37.5
osgb4000000025975788,-1,"((-3.3847213680298642, 50.626862680649268), (-3.3845686936280042, 50.626942332878961))",37.5
osgb4000000025975788,1,"((-3.3848370049898038, 50.62708432923035), (-3.3846843305879437, 50.627163981460043))",37.5
osgb4000000025933629,-1,"((-3.3845696718946119, 50.62694182933155), (-3.384200479116922, 50.62712930358645))",37.5
osgb4000000025933629,1,"((-3.3846828631880324, 50.627164736781168), (-3.3843136704103425, 50.627352211036069))",37.5
osgb4000000025933630,-1,"((-3.3833399819430263, 50.627560921022315), (-3.3827124024623565, 50.627856159256211))",37.5
osgb4000000025933630,1,"((-3.3834464036717602, 50.627787138651279), (-3.3828188241910904, 50.628082376885175))",37.5
osgb4000000025975787,1,"((-3.3805233515987996, 50.629001627123401), (-3.3804081920863895, 50.629036492017399))",37.5
osgb4000000025975787,-1,"((-3.3804509105117337, 50.628762352618068), (-3.3803357509993237, 50.628797217512066))",37.5
osgb5000005100853304,-1,"((-3.3799296844884923, 50.628904718926059), (-3.3786970989041025, 50.629247076546861))",37.5
osgb5000005100853304,1,"((-3.3799965905080116, 50.629145599777416), (-3.3787640049236218, 50.629487957398219))",37.5
osgb4000000025927823,1,"((-3.3784338369181781, 50.629565531724658), (-3.3782231363455582, 50.629612991506562))",37.5
osgb4000000025927823,-1,"((-3.3783789014117311, 50.629321642220724), (-3.3781682008391112, 50.629369102002627))",37.5
osgb4000000025927824,-1,"((-3.3739359807698444, 50.630736998806263), (-3.3728321659737643, 50.631190686044562))",37.5
osgb4000000025927824,1,"((-3.3740310204798085, 50.630968229110358), (-3.3729272056837285, 50.631421916348657))",37.5
osgb4000000025927825,1,"((-3.371210069708328, 50.632043015156036), (-3.3711679259166281, 50.632052504554835))",37.5
osgb4000000025927825,-1,"((-3.3711551528504478, 50.631799121452303), (-3.3711130090587478, 50.631808610851103))",37.5
osgb4000000025939004,-1,"((-3.3639090831251766, 50.632809306514261), (-3.3636309823244965, 50.632852160024363))",37.5
osgb4000000025939004,1,"((-3.3639471571087105, 50.633056390248605), (-3.3636690563080305, 50.633099243758707))",37.5
osgb4000000025930031,-1,"((-3.3548844769421078, 50.63299127556099), (-3.3550976441917277, 50.632994326770984))",37.5
osgb4000000025930031,1,"((-3.3548880549981637, 50.632741301167272), (-3.3551012222477836, 50.632744352377266))",37.5
osgb4000000025973687,1,"((-3.3570563160479918, 50.633074339520974), (-3.3568865432693618, 50.633075157149776))",37.5
osgb4000000025973687,-1,"((-3.357055112057389, 50.632824342420179), (-3.356885339278759, 50.632825160048981))",37.5
osgb5000005120529110,-1,"((-3.3545917430226426, 50.632998753686351), (-3.354683844097873, 50.632990586898551))",37.5
osgb5000005120529110,1,"((-3.3545696616591107, 50.632749730768964), (-3.3546617627343411, 50.632741563981163))",37.5
